goals,ownGoals,playerId,redCards,yellowCards,matchId,team,minute,playerIn
0,null,0,20911,0,0,2576174,home,75.0,20661.0
1,null,0,146590,0,0,2576174,home,83.0,134420.0
2,null,1,263432,0,0,2576174,home,86.0,239298.0
3,null,0,99661,0,0,2576174,home,,
4,null,0,21620,0,0,2576174,home,,
5,null,0,21114,0,0,2576174,home,,
6,null,0,286215,0,0,2576174,home,,
7,null,0,20928,0,0,2576174,home,,
8,null,0,226200,0,0,2576174,home,,
9,null,0,134435,0,0,2576174,home,,
10,null,0,20448,0,0,2576174,home,,
0,null,0,20556,0,0,2576174,away,46.0,20626.0
1,null,0,69968,0,0,2576174,away,87.0,241676.0
2,null,0,21094,0,0,2576174,away,,
3,null,0,20571,0,0,2576174,away,,
4,null,0,3431,0,0,2576174,away,,
5,null,0,138408,0,0,2576174,away,,
6,null,0,206314,0,0,2576174,away,,
7,null,0,14812,0,0,2576174,away,,
8,null,0,116349,0,0,2576174,away,,
9,null,0,135903,0,0,2576174,away,,
10,0,2,3543,0,0,2576174,away,91.0,3344.0
0,null,0,241676,0,0,2576166,home,46.0,69968.0
1,null,0,20556,0,0,2576166,home,70.0,20626.0
2,null,0,7982,0,0,2576166,home,77.0,298212.0
3,null,0,3543,0,0,2576166,home,,
4,null,0,20571,0,0,2576166,home,,
5,null,0,3431,0,0,2576166,home,,
6,null,0,138408,0,0,2576166,home,,
7,null,0,206314,0,0,2576166,home,,
8,null,0,14812,0,58,2576166,home,,
9,1,0,116349,0,0,2576166,home,,
10,null,0,135903,0,68,2576166,home,,
0,null,0,340019,0,0,2576166,away,70.0,44251.0
1,1,0,20418,0,0,2576166,away,75.0,20518.0
2,null,0,8327,0,0,2576166,away,84.0,234359.0
3,null,0,20879,0,0,2576166,away,,
4,null,0,328333,0,0,2576166,away,,
5,null,0,22566,0,0,2576166,away,,
6,null,0,114,0,0,2576166,away,,
7,null,0,3463,0,0,2576166,away,,
8,null,0,8306,0,0,2576166,away,,
9,null,0,92966,0,0,2576166,away,,
10,null,0,214220,0,0,2576166,away,,
0,0,2,20663,0,0,2576153,home,62.0,149076.0
1,null,0,22380,0,0,2576153,home,68.0,3710.0
2,0,2,25541,0,54,2576153,home,86.0,338249.0
3,null,0,23705,0,0,2576153,home,,
4,null,0,69400,0,0,2576153,home,,
5,null,0,447804,0,0,2576153,home,,
6,null,0,86328,0,0,2576153,home,,
7,null,0,21842,0,0,2576153,home,,
8,null,0,22313,0,0,2576153,home,,
9,0,2,20866,0,87,2576153,home,,
10,1,0,269152,0,0,2576153,home,,
0,0,2,70965,0,0,2576153,away,65.0,298212.0
1,null,0,20519,0,28,2576153,away,73.0,20517.0
2,null,0,135903,0,0,2576153,away,81.0,20556.0
3,null,0,3543,0,11,2576153,away,,
4,null,0,20571,0,0,2576153,away,,
5,null,0,138408,0,0,2576153,away,,
6,1,0,206314,0,88,2576153,away,,
7,null,0,14812,0,0,2576153,away,,
8,null,0,116349,0,0,2576153,away,,
9,null,0,7982,0,0,2576153,away,,
10,null,0,241676,0,0,2576153,away,,
0,null,0,20556,0,0,2576145,home,72.0,70965.0
1,null,0,135903,0,0,2576145,home,82.0,298212.0
2,null,0,3543,0,0,2576145,home,84.0,69968.0
3,null,0,20571,0,0,2576145,home,,
4,null,0,138408,0,0,2576145,home,,
5,null,0,206314,0,0,2576145,home,,
6,null,0,14812,0,0,2576145,home,,
7,null,0,116349,0,71,2576145,home,,
8,null,0,7982,0,66,2576145,home,,
9,null,0,20519,0,0,2576145,home,,
10,null,0,241676,0,0,2576145,home,,
0,null,0,20561,0,0,2576145,away,57.0,37745.0
1,null,0,3484,0,0,2576145,away,64.0,40806.0
2,null,0,265865,0,0,2576145,away,82.0,7926.0
3,null,0,166534,0,0,2576145,away,,
4,null,0,208865,0,0,2576145,away,,
5,null,0,21350,0,0,2576145,away,,
6,null,0,21384,0,0,2576145,away,,
7,null,0,228928,0,0,2576145,away,,
8,null,0,20550,0,77,2576145,away,,
9,null,0,130,0,0,2576145,away,,
10,null,0,7965,0,0,2576145,away,,
0,null,0,209400,0,0,2576136,home,63.0,22699.0
1,null,0,208696,0,0,2576136,home,83.0,292310.0
2,1,0,21861,0,0,2576136,home,,
3,null,0,22163,0,0,2576136,home,,
4,null,0,246059,0,0,2576136,home,,
5,null,0,354123,0,0,2576136,home,,
6,null,0,20842,0,0,2576136,home,,
7,null,0,22162,0,73,2576136,home,,
8,null,0,20832,0,0,2576136,home,,
9,null,0,20635,0,0,2576136,home,,
10,0,2,22383,0,0,2576136,home,95.0,21162.0
0,0,2,69968,0,21,2576136,away,46.0,20626.0
1,null,0,21094,0,0,2576136,away,77.0,298212.0
2,null,0,3431,0,0,2576136,away,80.0,70965.0
3,null,0,3543,0,0,2576136,away,,
4,null,0,20571,0,0,2576136,away,,
5,null,0,20556,0,0,2576136,away,,
6,null,0,138408,0,0,2576136,away,,
7,null,0,206314,0,0,2576136,away,,
8,null,0,14812,0,0,2576136,away,,
9,null,0,241676,0,0,2576136,away,,
10,null,0,135903,0,74,2576136,away,,
0,null,0,69968,0,0,2576125,home,53.0,241676.0
1,null,0,7982,0,0,2576125,home,69.0,352993.0
2,null,0,116349,0,73,2576125,home,78.0,20626.0
3,null,0,3543,0,0,2576125,home,,
4,null,0,21094,0,0,2576125,home,,
5,null,0,20571,0,0,2576125,home,,
6,null,0,20556,0,0,2576125,home,,
7,null,0,3431,0,0,2576125,home,,
8,null,0,138408,0,0,2576125,home,,
9,1,0,206314,0,0,2576125,home,,
10,null,0,14812,0,0,2576125,home,,
0,null,0,134508,0,65,2576125,away,73.0,20938.0
1,1,0,333913,0,0,2576125,away,78.0,234533.0
2,1,0,213948,0,0,2576125,away,88.0,21314.0
3,null,0,50069,0,74,2576125,away,,
4,null,0,20583,0,0,2576125,away,,
5,null,0,20540,0,0,2576125,away,,
6,null,0,131184,0,28,2576125,away,,
7,null,0,394,0,43,2576125,away,,
8,null,0,354547,0,0,2576125,away,,
9,null,0,56026,0,0,2576125,away,,
10,1,0,265172,0,0,2576125,away,,
0,null,0,3318,0,0,2576112,home,75.0,89186.0
1,null,0,20443,0,0,2576112,home,85.0,361807.0
2,null,0,20461,0,0,2576112,home,,
3,null,0,14943,0,0,2576112,home,,
4,null,0,3323,0,39,2576112,home,,
5,null,0,20579,0,27,2576112,home,,
6,null,0,25437,0,0,2576112,home,,
7,null,0,20588,0,0,2576112,home,,
8,null,0,20395,0,0,2576112,home,,
9,null,0,7849,0,0,2576112,home,,
10,null,0,20751,0,0,2576112,home,,
0,null,0,7982,0,61,2576112,away,63.0,298212.0
1,null,0,20556,0,0,2576112,away,69.0,241676.0
2,null,0,206314,0,0,2576112,away,85.0,20626.0
3,null,0,3543,0,0,2576112,away,,
4,null,0,21094,0,87,2576112,away,,
5,null,0,20571,0,0,2576112,away,,
6,null,0,3431,0,0,2576112,away,,
7,null,0,138408,0,0,2576112,away,,
8,null,0,69968,0,29,2576112,away,,
9,null,0,14812,0,40,2576112,away,,
10,null,0,116349,0,91,2576112,away,,
0,1,0,206314,0,0,2576104,home,75.0,20626.0
1,null,0,21094,0,0,2576104,home,77.0,298212.0
2,null,0,20556,0,0,2576104,home,85.0,352993.0
3,null,0,3543,0,0,2576104,home,,
4,null,0,20571,0,0,2576104,home,,
5,1,0,138408,0,0,2576104,home,,
6,null,0,70965,0,0,2576104,home,,
7,null,0,69968,0,0,2576104,home,,
8,3,0,14812,0,0,2576104,home,,
9,null,0,7982,0,0,2576104,home,,
10,null,0,20519,0,56,2576104,home,,
0,null,0,21148,0,0,2576104,away,64.0,20748.0
1,null,0,21119,0,0,2576104,away,69.0,238832.0
2,null,0,20495,0,0,2576104,away,87.0,269188.0
3,null,0,21291,0,0,2576104,away,,
4,null,0,20633,0,0,2576104,away,,
5,null,0,20929,0,0,2576104,away,,
6,null,0,20638,0,0,2576104,away,,
7,null,0,415809,0,0,2576104,away,,
8,null,0,21607,0,0,2576104,away,,
9,null,0,21438,0,0,2576104,away,,
10,null,0,278813,0,0,2576104,away,,
0,null,0,50073,0,0,2576091,home,64.0,23314.0
1,null,0,116171,0,0,2576091,home,82.0,20874.0
2,1,0,22933,0,0,2576091,home,87.0,21959.0
3,null,0,21299,0,0,2576091,home,,
4,null,0,20636,0,0,2576091,home,,
5,null,0,286223,0,0,2576091,home,,
6,null,0,21639,0,66,2576091,home,,
7,null,0,283832,0,0,2576091,home,,
8,null,0,220359,0,0,2576091,home,,
9,null,0,20472,0,0,2576091,home,,
10,null,0,20850,0,0,2576091,home,,
0,null,0,116349,0,0,2576091,away,53.0,69968.0
1,null,0,20556,0,0,2576091,away,86.0,135903.0
2,null,0,3543,0,0,2576091,away,,
3,null,0,21094,0,0,2576091,away,,
4,null,0,20571,0,0,2576091,away,,
5,null,0,3431,0,13,2576091,away,,
6,null,0,138408,0,0,2576091,away,,
7,null,0,14812,0,0,2576091,away,,
8,null,0,7982,0,0,2576091,away,,
9,null,0,241676,0,81,2576091,away,,
10,2,2,206314,0,0,2576091,away,94.0,20626.0
0,0,0,20556,0,0,2576082,home,73.0,69968.0
1,0,0,3543,0,0,2576082,home,83.0,70965.0
2,0,0,21094,0,0,2576082,home,,
3,0,0,20571,0,0,2576082,home,,
4,0,0,3431,0,0,2576082,home,,
5,0,0,138408,0,0,2576082,home,,
6,2,0,206314,0,0,2576082,home,90.0,20626.0
7,0,0,14812,0,0,2576082,home,,
8,0,0,116349,0,0,2576082,home,,
9,0,0,7982,0,0,2576082,home,,
10,0,0,241676,0,0,2576082,home,,
0,0,0,20820,0,0,2576082,away,55.0,246175.0
1,0,0,21077,0,0,2576082,away,67.0,373768.0
2,0,0,41034,0,0,2576082,away,77.0,342075.0
3,0,0,21620,0,53,2576082,away,,
4,0,0,625,0,0,2576082,away,,
5,0,0,20404,0,0,2576082,away,,
6,0,0,86366,0,48,2576082,away,,
7,0,0,280419,0,0,2576082,away,,
8,0,0,20841,0,0,2576082,away,,
9,0,0,50849,0,0,2576082,away,,
10,0,0,263803,0,0,2576082,away,,
0,0,0,241676,0,0,2576075,home,69.0,20626.0
1,0,0,20517,0,0,2576075,home,76.0,69968.0
2,0,0,3543,0,0,2576075,home,,
3,0,0,21094,0,0,2576075,home,,
4,0,0,20571,0,0,2576075,home,,
5,0,0,20556,0,0,2576075,home,,
6,0,0,3431,0,0,2576075,home,,
7,0,0,138408,0,66,2576075,home,,
8,0,0,206314,0,0,2576075,home,,
9,0,0,14812,0,0,2576075,home,,
10,0,0,116349,0,33,2576075,home,,
0,0,0,20525,0,64,2576075,away,73.0,20812.0
1,1,0,8148,0,0,2576075,away,82.0,25898.0
2,0,0,20941,0,0,2576075,away,89.0,339791.0
3,0,0,25421,0,61,2576075,away,,
4,0,0,20429,0,42,2576075,away,,
5,0,0,21234,0,0,2576075,away,,
6,0,0,14903,0,56,2576075,away,,
7,0,0,101742,0,0,2576075,away,,
8,0,0,25558,0,0,2576075,away,,
9,0,0,21507,0,0,2576075,away,,
10,0,0,20927,0,0,2576075,away,,
0,0,0,410031,0,0,2576061,home,58.0,20536.0
1,0,0,22381,0,0,2576061,home,64.0,86309.0
2,0,0,20947,0,0,2576061,home,79.0,403546.0
3,0,0,25878,0,94,2576061,home,,
4,0,0,23427,0,0,2576061,home,,
5,0,0,343925,0,0,2576061,home,,
6,0,0,328336,0,38,2576061,home,,
7,0,0,21298,0,0,2576061,home,,
8,0,0,20935,0,0,2576061,home,,
9,0,0,22093,0,0,2576061,home,,
10,0,0,26373,0,0,2576061,home,,
0,0,0,20556,0,0,2576061,away,74.0,69968.0
1,1,0,3543,0,0,2576061,away,79.0,135903.0
